Capixaba,AC,NORTE,0,1,2018
Cruzeiro do Sul,AC,NORTE,1,1,2018
Epitaciolândia,AC,NORTE,0,1,2018
Feijó,AC,NORTE,0,1,2018
Jordão,AC,NORTE,0,1,2018
Mâncio Lima,AC,NORTE,0,1,2018
Manoel Urbano,AC,NORTE,0,1,2018
Marechal Thaumaturgo,AC,NORTE,0,1,2018
Plácido De Castro,AC,NORTE,0,1,2018
Porto Acre,AC,NORTE,1,1,2018
Porto Walter,AC,NORTE,0,1,2018
Rio Branco,AC,NORTE,12,1,2018
Rodrigues Alves,AC,NORTE,0,1,2018
Santa Rosa Do Purus,AC,NORTE,0,1,2018
Sena Madureira,AC,NORTE,1,1,2018
Senador Guiomard,AC,NORTE,0,1,2018
Tarauacá,AC,NORTE,1,1,2018
Xapuri,AC,NORTE,0,1,2018
Acrelândia,AC,NORTE,0,1,2018
Assis Brasil,AC,NORTE,0,1,2018
Brasiléia,AC,NORTE,0,1,2018
Bujari,AC,NORTE,0,1,2018
Capixaba,AC,NORTE,0,1,2018
Cruzeiro do Sul,AC,NORTE,1,1,2018
Epitaciolândia,AC,NORTE,0,1,2018
Feijó,AC,NORTE,1,1,2018
Jordão,AC,NORTE,0,1,2018
Mâncio Lima,AC,NORTE,0,1,2018
Manoel Urbano,AC,NORTE,0,1,2018
Marechal Thaumaturgo,AC,NORTE,0,1,2018
Plácido De Castro,AC,NORTE,0,1,2018
Porto Acre,AC,NORTE,0,1,2018
Porto Walter,AC,NORTE,0,1,2018
Rio Branco,AC,NORTE,12,1,2018
Rodrigues Alves,AC,NORTE,1,1,2018
Santa Rosa Do Purus,AC,NORTE,0,1,2018
Sena Madureira,AC,NORTE,0,1,2018
Senador Guiomard,AC,NORTE,0,1,2018
Tarauacá,AC,NORTE,3,1,2018
Xapuri,AC,NORTE,0,1,2018
Água Branca,AL,NORDESTE,1,1,2018
Arapiraca,AL,NORDESTE,11,1,2018
Atalaia,AL,NORDESTE,2,1,2018
Barra De São Miguel,AL,NORDESTE,1,1,2018
Belém,AL,NORDESTE,1,1,2018
Boca Da Mata,AL,NORDESTE,1,1,2018
Boca Da Mata,AL,NORDESTE,2,1,2018
Branquinha,AL,NORDESTE,1,1,2018
Campo Grande,AL,NORDESTE,1,1,2018
Capela,AL,NORDESTE,1,1,2018
Coité Do Nóia,AL,NORDESTE,1,1,2018
Colônia Leopoldina,AL,NORDESTE,4,1,2018
Coqueiro Seco,AL,NORDESTE,1,1,2018
Coruripe,AL,NORDESTE,8,1,2018
Craíbas,AL,NORDESTE,1,1,2018
Delmiro Gouveia,AL,NORDESTE,2,1,2018
Feira Grande,AL,NORDESTE,1,1,2018
Flexeiras,AL,NORDESTE,1,1,2018
Igaci,AL,NORDESTE,1,1,2018
Igreja Nova,AL,NORDESTE,1,1,2018
Inhapi,AL,NORDESTE,1,1,2018
Inhapi,AL,NORDESTE,2,1,2018
Jacuípe,AL,NORDESTE,2,1,2018
Jequiá Da Praia,AL,NORDESTE,1,1,2018
Joaquim Gomes,AL,NORDESTE,2,1,2018
Lagoa Da Canoa,AL,NORDESTE,1,1,2018
Limoeiro De Anadia,AL,NORDESTE,3,1,2018
Maceió,AL,NORDESTE,44,1,2018
Maceió,AL,NORDESTE,6,1,2018
Maragogi,AL,NORDESTE,1,1,2018
Mata Grande,AL,NORDESTE,1,1,2018
Murici,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,2,1,2018
Palmeira Dos Índios,AL,NORDESTE,2,1,2018
Paripueira,AL,NORDESTE,1,1,2018
Passo De Camaragibe,AL,NORDESTE,1,1,2018
Penedo,AL,NORDESTE,4,1,2018
Piaçabuçu,AL,NORDESTE,2,1,2018
Pilar,AL,NORDESTE,4,1,2018
Piranhas,AL,NORDESTE,2,1,2018
Porto De Pedras,AL,NORDESTE,1,1,2018
Rio Largo,AL,NORDESTE,8,1,2018
Santana Do Ipanema,AL,NORDESTE,1,1,2018
Santana Do Mundaú,AL,NORDESTE,2,1,2018
São José Da Tapera,AL,NORDESTE,1,1,2018
São Luís Do Quitunde,AL,NORDESTE,3,1,2018
São Miguel Dos Campos,AL,NORDESTE,1,1,2018
São Miguel Dos Milagres,AL,NORDESTE,1,1,2018
São Sebastião,AL,NORDESTE,3,1,2018
Senador Rui Palmeira,AL,NORDESTE,1,1,2018
Teotônio Vilela,AL,NORDESTE,2,1,2018
Teotônio Vilela,AL,NORDESTE,1,1,2018
Arapiraca,AL,NORDESTE,5,1,2018
Atalaia,AL,NORDESTE,1,1,2018
Barra De São Miguel,AL,NORDESTE,2,1,2018
Boca Da Mata,AL,NORDESTE,1,1,2018
Branquinha,AL,NORDESTE,1,1,2018
Cajueiro,AL,NORDESTE,1,1,2018
Campo Alegre,AL,NORDESTE,1,1,2018
Capela,AL,NORDESTE,1,1,2018
Colônia Leopoldina,AL,NORDESTE,1,1,2018
Coqueiro Seco,AL,NORDESTE,1,1,2018
Feira Grande,AL,NORDESTE,1,1,2018
Igaci,AL,NORDESTE,2,1,2018
