UF;Tipo Crime;Ano;Mês;Ocorrências
Acre;Roubo a instituição financeira;2016;5;0
Acre;Roubo de carga;2016;5;0
Acre;Roubo de veículo;2016;5;0
Acre;Roubo seguido de morte (latrocínio);2016;5;2
Acre;Tentativa de homicídio;2016;5;0
Acre;Estupro;2016;6;2
Acre;Furto de veículo;2016;6;0
Acre;Homicídio doloso;2016;6;26
Acre;Lesão corporal seguida de morte;2016;6;0
Acre;Roubo a instituição financeira;2016;6;0
Acre;Roubo de carga;2016;6;0
Acre;Roubo de veículo;2016;6;0
Acre;Roubo seguido de morte (latrocínio);2016;6;0
Acre;Tentativa de homicídio;2016;6;1
Acre;Estupro;2016;7;2
Acre;Furto de veículo;2016;7;0
Acre;Homicídio doloso;2016;7;23
Acre;Lesão corporal seguida de morte;2016;7;0
Acre;Roubo a instituição financeira;2016;7;0
Acre;Roubo de carga;2016;7;0
Acre;Roubo de veículo;2016;7;0
Acre;Roubo seguido de morte (latrocínio);2016;7;1
Acre;Tentativa de homicídio;2016;7;0
Acre;Estupro;2016;8;2
Acre;Furto de veículo;2016;8;0
Acre;Homicídio doloso;2016;8;23
Acre;Lesão corporal seguida de morte;2016;8;0
Acre;Roubo a instituição financeira;2016;8;0
Acre;Roubo de carga;2016;8;0
Acre;Roubo de veículo;2016;8;0
Acre;Roubo seguido de morte (latrocínio);2016;8;0
Acre;Tentativa de homicídio;2016;8;1
Acre;Estupro;2016;9;7
Acre;Furto de veículo;2016;9;0
Acre;Homicídio doloso;2016;9;27
Acre;Lesão corporal seguida de morte;2016;9;0
Acre;Roubo a instituição financeira;2016;9;0
Acre;Roubo de carga;2016;9;0
Acre;Roubo de veículo;2016;9;0
Acre;Roubo seguido de morte (latrocínio);2016;9;1
Acre;Tentativa de homicídio;2016;9;1
Acre;Estupro;2016;10;2
Acre;Furto de veículo;2016;10;0
Acre;Homicídio doloso;2016;10;50
Acre;Lesão corporal seguida de morte;2016;10;0
Acre;Roubo a instituição financeira;2016;10;0
Acre;Roubo de carga;2016;10;0
Acre;Roubo de veículo;2016;10;0
Acre;Roubo seguido de morte (latrocínio);2016;10;1
Acre;Tentativa de homicídio;2016;10;1
Acre;Estupro;2016;11;6
Acre;Furto de veículo;2016;11;0
Acre;Homicídio doloso;2016;11;30
Acre;Lesão corporal seguida de morte;2016;11;0
Acre;Roubo a instituição financeira;2016;11;0
Acre;Roubo de carga;2016;11;0
Acre;Roubo de veículo;2016;11;0
Acre;Roubo seguido de morte (latrocínio);2016;11;1
Acre;Tentativa de homicídio;2016;11;0
Acre;Estupro;2016;12;4
Acre;Furto de veículo;2016;12;0
Acre;Homicídio doloso;2016;12;142
Acre;Lesão corporal seguida de morte;2016;12;0
Acre;Roubo a instituição financeira;2016;12;0
Acre;Roubo de carga;2016;12;0
Acre;Roubo de veículo;2016;12;0
Acre;Roubo seguido de morte (latrocínio);2016;12;4
Acre;Tentativa de homicídio;2016;12;0
Acre;Estupro;2017;1;0
Acre;Furto de veículo;2017;1;0
Acre;Homicídio doloso;2017;1;43
Acre;Lesão corporal seguida de morte;2017;1;0
Acre;Roubo a instituição financeira;2017;1;0
Acre;Roubo de carga;2017;1;0
Acre;Roubo de veículo;2017;1;0
Acre;Roubo seguido de morte (latrocínio);2017;1;1
Acre;Tentativa de homicídio;2017;1;0
Acre;Estupro;2017;2;1
Acre;Furto de veículo;2017;2;0
Acre;Homicídio doloso;2017;2;46
Acre;Lesão corporal seguida de morte;2017;2;0
Acre;Roubo a instituição financeira;2017;2;0
Acre;Roubo de carga;2017;2;0
Acre;Roubo de veículo;2017;2;0
Acre;Roubo seguido de morte (latrocínio);2017;2;0
Acre;Tentativa de homicídio;2017;2;0
Acre;Estupro;2017;3;3
Acre;Furto de veículo;2017;3;0
Acre;Homicídio doloso;2017;3;1
Acre;Lesão corporal seguida de morte;2017;3;0
Acre;Roubo a instituição financeira;2017;3;0
Acre;Roubo de carga;2017;3;0
Acre;Roubo de veículo;2017;3;13
Acre;Roubo seguido de morte (latrocínio);2017;3;2
Acre;Tentativa de homicídio;2017;3;1
Acre;Estupro;2017;4;2
Acre;Furto de veículo;2017;4;2
Acre;Homicídio doloso;2017;4;2
Acre;Lesão corporal seguida de morte;2017;4;0
Acre;Roubo a instituição financeira;2017;4;0
Acre;Roubo de carga;2017;4;0
Acre;Roubo de veículo;2017;4;39
Acre;Roubo seguido de morte (latrocínio);2017;4;0
Acre;Tentativa de homicídio;2017;4;3
Acre;Estupro;2017;5;0
Acre;Furto de veículo;2017;5;5
Acre;Homicídio doloso;2017;5;1
Acre;Lesão corporal seguida de morte;2017;5;0
Acre;Roubo a instituição financeira;2017;5;0
Acre;Roubo de carga;2017;5;0
Acre;Roubo de veículo;2017;5;3
Acre;Roubo seguido de morte (latrocínio);2017;5;0
Acre;Tentativa de homicídio;2017;5;0
Acre;Estupro;2017;6;3
Acre;Furto de veículo;2017;6;39
Acre;Homicídio doloso;2017;6;10
