UF;Tipo Crime;Ano;Mês;Vítimas
Alagoas;Homicídio doloso;2018;10;96
Alagoas;Homicídio doloso;2018;11;87
Alagoas;Homicídio doloso;2018;12;111
Alagoas;Homicídio doloso;2019;1;98
Alagoas;Homicídio doloso;2019;2;94
Alagoas;Homicídio doloso;2019;3;94
Alagoas;Homicídio doloso;2019;4;97
Alagoas;Homicídio doloso;2019;5;95
Alagoas;Homicídio doloso;2019;6;73
Alagoas;Homicídio doloso;2019;7;76
Alagoas;Homicídio doloso;2019;8;70
Alagoas;Homicídio doloso;2019;9;88
Alagoas;Homicídio doloso;2019;10;99
Alagoas;Homicídio doloso;2019;11;96
Alagoas;Homicídio doloso;2019;12;94
Alagoas;Homicídio doloso;2020;1;95
Alagoas;Homicídio doloso;2020;2;130
Alagoas;Homicídio doloso;2020;3;101
Alagoas;Lesão corporal seguida de morte;2015;1;1
Alagoas;Lesão corporal seguida de morte;2015;2;0
Alagoas;Lesão corporal seguida de morte;2015;3;1
Alagoas;Lesão corporal seguida de morte;2015;4;1
Alagoas;Lesão corporal seguida de morte;2015;5;2
Alagoas;Lesão corporal seguida de morte;2015;6;0
Alagoas;Lesão corporal seguida de morte;2015;7;0
Alagoas;Lesão corporal seguida de morte;2015;8;2
Alagoas;Lesão corporal seguida de morte;2015;9;0
Alagoas;Lesão corporal seguida de morte;2015;10;2
Alagoas;Lesão corporal seguida de morte;2015;11;0
Alagoas;Lesão corporal seguida de morte;2015;12;0
Alagoas;Lesão corporal seguida de morte;2016;1;0
Alagoas;Lesão corporal seguida de morte;2016;2;1
Alagoas;Lesão corporal seguida de morte;2016;3;1
Alagoas;Lesão corporal seguida de morte;2016;4;1
Alagoas;Lesão corporal seguida de morte;2016;5;0
Alagoas;Lesão corporal seguida de morte;2016;6;2
Alagoas;Lesão corporal seguida de morte;2016;7;0
Alagoas;Lesão corporal seguida de morte;2016;8;0
Alagoas;Lesão corporal seguida de morte;2016;9;0
Alagoas;Lesão corporal seguida de morte;2016;10;0
Alagoas;Lesão corporal seguida de morte;2016;11;1
Alagoas;Lesão corporal seguida de morte;2016;12;3
Alagoas;Lesão corporal seguida de morte;2017;1;3
Alagoas;Lesão corporal seguida de morte;2017;2;5
Alagoas;Lesão corporal seguida de morte;2017;3;1
Alagoas;Lesão corporal seguida de morte;2017;4;2
Alagoas;Lesão corporal seguida de morte;2017;5;2
Alagoas;Lesão corporal seguida de morte;2017;6;0
Alagoas;Lesão corporal seguida de morte;2017;7;1
Alagoas;Lesão corporal seguida de morte;2017;8;0
Alagoas;Lesão corporal seguida de morte;2017;9;2
Alagoas;Lesão corporal seguida de morte;2017;10;0
Alagoas;Lesão corporal seguida de morte;2017;11;2
Alagoas;Lesão corporal seguida de morte;2017;12;1
Alagoas;Lesão corporal seguida de morte;2018;1;0
Alagoas;Lesão corporal seguida de morte;2018;2;0
Alagoas;Lesão corporal seguida de morte;2018;3;2
Alagoas;Lesão corporal seguida de morte;2018;4;0
Alagoas;Lesão corporal seguida de morte;2018;5;0
Alagoas;Lesão corporal seguida de morte;2018;6;2
Alagoas;Lesão corporal seguida de morte;2018;7;1
Alagoas;Lesão corporal seguida de morte;2018;8;0
Alagoas;Lesão corporal seguida de morte;2018;9;0
Alagoas;Lesão corporal seguida de morte;2018;10;2
Alagoas;Lesão corporal seguida de morte;2018;11;1
Alagoas;Lesão corporal seguida de morte;2018;12;0
Alagoas;Lesão corporal seguida de morte;2019;2;0
