nome,tipo_crime,ano,mes,vitimas,ocorrencias,uf
Alagoas,Homicídio doloso,2015,4,127.0,126.0,AL
Alagoas,Homicídio doloso,2015,5,121.0,120.0,AL
Alagoas,Homicídio doloso,2015,6,138.0,138.0,AL
Alagoas,Homicídio doloso,2015,7,130.0,130.0,AL
Alagoas,Homicídio doloso,2015,8,119.0,118.0,AL
Alagoas,Homicídio doloso,2015,9,116.0,115.0,AL
Alagoas,Homicídio doloso,2015,10,128.0,126.0,AL
Alagoas,Homicídio doloso,2015,11,139.0,138.0,AL
Alagoas,Homicídio doloso,2015,12,160.0,157.0,AL
Alagoas,Homicídio doloso,2016,1,148.0,144.0,AL
Alagoas,Homicídio doloso,2016,2,132.0,128.0,AL
Alagoas,Homicídio doloso,2016,3,161.0,158.0,AL
Alagoas,Homicídio doloso,2016,4,127.0,124.0,AL
Alagoas,Homicídio doloso,2016,5,147.0,143.0,AL
Alagoas,Homicídio doloso,2016,6,124.0,123.0,AL
Alagoas,Homicídio doloso,2016,7,151.0,149.0,AL
Alagoas,Homicídio doloso,2016,8,126.0,121.0,AL
Alagoas,Homicídio doloso,2016,9,120.0,119.0,AL
Alagoas,Homicídio doloso,2016,10,132.0,128.0,AL
Alagoas,Homicídio doloso,2016,11,152.0,148.0,AL
Alagoas,Homicídio doloso,2016,12,175.0,174.0,AL
Alagoas,Homicídio doloso,2017,1,189.0,188.0,AL
Alagoas,Homicídio doloso,2017,2,168.0,164.0,AL
Alagoas,Homicídio doloso,2017,3,175.0,169.0,AL
Alagoas,Homicídio doloso,2017,4,150.0,147.0,AL
Alagoas,Homicídio doloso,2017,5,108.0,107.0,AL
Alagoas,Homicídio doloso,2017,6,118.0,116.0,AL
Alagoas,Homicídio doloso,2017,7,102.0,100.0,AL
Alagoas,Homicídio doloso,2017,8,136.0,134.0,AL
Alagoas,Homicídio doloso,2017,9,137.0,132.0,AL
Alagoas,Homicídio doloso,2017,10,146.0,143.0,AL
Alagoas,Homicídio doloso,2017,11,132.0,127.0,AL
Alagoas,Homicídio doloso,2017,12,145.0,145.0,AL
Alagoas,Homicídio doloso,2018,1,151.0,148.0,AL
Alagoas,Homicídio doloso,2018,2,106.0,106.0,AL
Alagoas,Homicídio doloso,2018,3,118.0,118.0,AL
Alagoas,Homicídio doloso,2018,4,138.0,136.0,AL
Alagoas,Homicídio doloso,2018,5,112.0,112.0,AL
Alagoas,Homicídio doloso,2018,6,114.0,113.0,AL
Alagoas,Homicídio doloso,2018,7,91.0,90.0,AL
Alagoas,Homicídio doloso,2018,8,109.0,104.0,AL
Alagoas,Homicídio doloso,2018,9,97.0,97.0,AL
Alagoas,Homicídio doloso,2018,10,96.0,92.0,AL
Alagoas,Homicídio doloso,2018,11,87.0,85.0,AL
Alagoas,Homicídio doloso,2018,12,111.0,108.0,AL
Alagoas,Homicídio doloso,2019,1,98.0,90.0,AL
Alagoas,Homicídio doloso,2019,2,94.0,92.0,AL
Alagoas,Homicídio doloso,2019,3,94.0,92.0,AL
Alagoas,Homicídio doloso,2019,4,97.0,90.0,AL
Alagoas,Homicídio doloso,2019,5,95.0,90.0,AL
Alagoas,Homicídio doloso,2019,6,73.0,71.0,AL
Alagoas,Homicídio doloso,2019,7,76.0,72.0,AL
Alagoas,Homicídio doloso,2019,8,70.0,68.0,AL
Alagoas,Homicídio doloso,2019,9,88.0,85.0,AL
Alagoas,Homicídio doloso,2019,10,99.0,97.0,AL
Alagoas,Homicídio doloso,2019,11,96.0,89.0,AL
Alagoas,Homicídio doloso,2019,12,94.0,92.0,AL
Alagoas,Homicídio doloso,2020,1,95.0,93.0,AL
Alagoas,Homicídio doloso,2020,2,130.0,125.0,AL
Alagoas,Homicídio doloso,2020,3,101.0,100.0,AL
Alagoas,Lesão corporal seguida de morte,2015,1,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2015,2,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2015,3,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2015,4,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2015,5,2.0,2.0,AL
Alagoas,Lesão corporal seguida de morte,2015,6,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2015,7,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2015,8,2.0,2.0,AL
Alagoas,Lesão corporal seguida de morte,2015,9,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2015,10,2.0,2.0,AL
Alagoas,Lesão corporal seguida de morte,2015,11,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2015,12,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2016,1,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2016,2,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2016,3,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2016,4,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2016,5,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2016,6,2.0,2.0,AL
Alagoas,Lesão corporal seguida de morte,2016,7,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2016,8,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2016,9,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2016,10,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2016,11,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2016,12,3.0,3.0,AL
Alagoas,Lesão corporal seguida de morte,2017,1,3.0,3.0,AL
Alagoas,Lesão corporal seguida de morte,2017,2,5.0,5.0,AL
Alagoas,Lesão corporal seguida de morte,2017,3,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2017,4,2.0,2.0,AL
Alagoas,Lesão corporal seguida de morte,2017,5,2.0,2.0,AL
Alagoas,Lesão corporal seguida de morte,2017,6,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2017,7,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2017,8,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2017,9,2.0,2.0,AL
Alagoas,Lesão corporal seguida de morte,2017,10,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2017,11,2.0,2.0,AL
Alagoas,Lesão corporal seguida de morte,2017,12,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2018,1,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2018,2,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2018,3,2.0,2.0,AL
Alagoas,Lesão corporal seguida de morte,2018,4,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2018,5,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2018,6,2.0,2.0,AL
Alagoas,Lesão corporal seguida de morte,2018,7,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2018,8,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2018,9,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2018,10,2.0,2.0,AL
Alagoas,Lesão corporal seguida de morte,2018,11,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2018,12,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2019,2,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2019,3,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2019,4,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2019,5,2.0,2.0,AL
Alagoas,Lesão corporal seguida de morte,2019,6,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2019,7,0.0,0.0,AL
Alagoas,Lesão corporal seguida de morte,2019,9,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2019,10,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2019,11,1.0,1.0,AL
Alagoas,Lesão corporal seguida de morte,2019,12,0.0,0.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2015,1,5.0,5.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2015,2,6.0,6.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2015,3,8.0,8.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2015,4,2.0,2.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2015,5,6.0,6.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2015,6,2.0,2.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2015,7,8.0,8.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2015,8,6.0,6.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2015,9,3.0,3.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2015,10,1.0,1.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2015,11,5.0,5.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2015,12,4.0,4.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2016,1,6.0,6.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2016,2,5.0,5.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2016,3,2.0,2.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2016,4,9.0,9.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2016,5,10.0,10.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2016,6,5.0,5.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2016,7,2.0,2.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2016,8,4.0,4.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2016,9,3.0,3.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2016,10,4.0,4.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2016,11,6.0,6.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2016,12,5.0,5.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2017,1,7.0,7.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2017,2,6.0,6.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2017,3,4.0,4.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2017,4,4.0,4.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2017,5,4.0,4.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2017,6,6.0,6.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2017,7,1.0,1.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2017,8,8.0,8.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2017,9,6.0,6.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2017,10,3.0,3.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2017,11,6.0,6.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2017,12,4.0,4.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2018,1,5.0,5.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2018,2,3.0,3.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2018,3,6.0,6.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2018,4,3.0,3.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2018,5,1.0,1.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2018,6,2.0,2.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2018,7,0.0,0.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2018,8,6.0,6.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2018,9,7.0,7.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2018,10,3.0,3.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2018,11,0.0,0.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2018,12,3.0,3.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2019,1,1.0,1.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2019,2,3.0,3.0,AL
